name,calories,portion,unite
Barres de céréales pomme abricot swing aldi,388,100,gramme
"Barres de régime orange/chocolat ou 2 chocoats ""forme & minceur"" (dia)",405,100,gramme
Barres figues pruneaux (6) Delhaize,372,125,gramme
Barres FIgues-Pruneaux AUCHAN pq de 6 barres=125Grs,376,100,gramme
Barres fitness blé complet et chocolat,382,100,gramme
Barres fitness chocolat-orange nestlé : par unité,87,100,gramme
Barres fourrées figues-pruneaux (le mutant),372,100,gramme
Barres fruits rouges ondilege Casino,349,100,gramme
Barres high energy (unité) Isostar,78,1,unité
Barres soja-amande au chocolat noir gayelord hauser : par unité de 23 g,86,100,gramme
"Basilic finement ciselé surgelé, rustica Leclerc marque repère",22,100,gramme
Batavia,25,100,gramme
Batbout,280,100,gramme
Batida de coco (alcool),167,100,gramme
Batna Krema,390,100,gramme
Batôn de berger justin bridou,502,100,gramme
Bâton de berger justin bridou - aux noisettes,438,100,gramme
"Bâtonner glacé solero exotic : par portion de 67,5 ml",76,100,gramme
Bâtonnet chocolat lait amandes noisettes La laitière,219,1,unité
Bâtonnet de crabe (champion),118,100,gramme
Batonnet de crabe marque u,118,100,gramme
Bâtonnet de surimi saveur crabe Auchan,110,100,gramme
Bâtonnet de surimi saveur crabe 1 sachet fraicheur Auchan,55,50,gramme
Bâtonnet framboise best Picard,82,100,gramme
Bâtonnet géant vanille bourbon choc. lait/amandes Thiriet,219,100,gramme
Bâtonnet géant vanille bourbon choc. lait/amandes Thiriet,240,1,portion
Bâtonnet glacé à l'orange picard (glace à l'eau),86,100,gramme
Bâtonnet glacé au citron picard (glace à l'eau),82,100,gramme
Bâtonnet glacé nestea pêche : par unité de 50 ml,55,100,gramme
Bâtonnet glacé sveltesse framboise : par unité de 90 ml,91,100,gramme
Bâtonnet glacé sveltesse mangue-passion : par unité de 90 ml,91,100,gramme
Batonnet haggen dazs cookies and cream (100ml),343,100,gramme
"Bâtonnet le craquant, parfum vanille nougatine La laitière",248,100,gramme
Bâtonnet pané 100%filet de iglo,194,100,gramme
Bâtonnet surimi fleury michon,117,100,gramme
Bâtonnet vanille-nougatine La laitière,223,1,unité
"batonnets à chair de poisson saveur crabe ""Eco +""",134,100,gramme
"batonnets à chair de poisson saveur crabe ""Repère""",120,100,gramme
"Bâtonnets chocolat, riz soufflé&eclats noisettes U",211,100,gramme
"Bâtonnets chocolat, riz soufflé&eclats noisettes U",1227,1,part
Batonnets chocolatés,517,100,gramme
Bâtonnets de colin d'alaska panés  Picard,181,100,gramme
Bâtonnets de légumes façon tempura Picard,177,100,gramme
Batonnets de surimi Atlantic,120,100,gramme
"Bâtonnets de surimi ""Atlantic""",116,100,gramme
Batonnets de surimi 24  ED,125,100,gramme
